architecture,model,perfect_f1,raw_misspelled_f1,llm_corrected_f1,raw_degradation,remaining_degradation,recovery_percentage,status
pure_llm,qwen,0.49275362318840576,0.43283582089552236,0.4852941176470588,0.059917802292883404,0.007459505541346945,87.55043533658956,Partial
format_a,qwen,0.888888888888889,0.0,0.732394366197183,0.888888888888889,0.15649452269170594,82.39436619718307,Partial
format_b,qwen,1.0,0.0,0.8750000000000001,1.0,0.12499999999999989,87.50000000000001,Partial
graphrag,qwen,1.0,0.0,0.8750000000000001,1.0,0.12499999999999989,87.50000000000001,Partial
